FEN,Moves,MateIn,Winner
1r6/2R2p1k/1K2b2n/2R1P3/p2p1Q2/P2N4/1P2P3/7q w - - 13 46,b6a5 h1a8 c7a7 a8a7,2,Black
3R4/p5kp/1p3prq/2b1p1n1/5p2/2B2P2/PPP1Q1PP/5R1K w - - 17 30,f1d1 h6h2 h1h2 g6h6,2,Black
5r2/6pk/3R3p/4p3/PQ2Pq2/8/1P4PP/3r2K1 w - - 0 33,d6d1 f4f2 g1h1 f2f1 d1f1 f8f1,3,Black
4r1k1/p1p3p1/1p3pP1/8/4Q3/4P3/P6P/3R2K1 b - - 0 38,e8e4 d1d8 e4e8 d8e8,2,White
2r2rk1/5p2/6P1/5b2/3q4/B4Q2/8/K5RR w - - 0 33,a3b2 c8a8 f3a8 f8a8,2,Black
2kr3r/qp3p2/p1pB2p1/Q2pPp2/5P2/PR6/1P4pP/2R4K w - - 0 28,h1g2 h8h2 g2h2 a7f2 h2h1 d8h8 b3h3 h8h3,4,Black
4r1k1/pp1n1r1Q/6p1/2p5/2B2P2/1P2P1R1/PB1q3P/2R2K2 b - - 0 28,g8h7 g3h3 h7g8 h3h8,2,White
6k1/2r2ppp/8/4p3/3p4/R2P4/5PPP/6K1 b - - 0 33,c7c6 a3a8 c6c8 a8c8,2,Black
r2q1rk1/1bpn2b1/pp4Q1/5p2/2BPp3/P6P/1PP2PPN/R4RK1 b - - 4 18,g8h8 g6h5 g7h6 h5h6,2,White
4r1k1/p6p/1p4p1/5p2/2P5/1BQ5/P2r1qPP/5R1K w - - 10 32,f1f2 e8e1 f2f1 e1f1,2,White
Q7/pp1k1p1p/8/8/1b2q3/1bN5/1P3PPP/RN2K2R w KQ - 1 20,e1f1 b3c4 c3e2 e4e2 f1g1 e2d1,3,Black
4rk2/4p3/4QPp1/2pP2N1/qp2P3/1p6/8/K2R3R w - - 1 34,a1b1 a4a2 b1c1 a2c2,2,Black
2r1Rk2/1Q4p1/p2P1ppn/2P2b1q/3B4/7P/PP3Pp1/4R1K1 b - - 2 24,c8e8 e1e8 f8e8 b7e7,2,White
3Q3k/q3r1p1/2p1r1Bp/p7/Pp6/5P1P/1P4P1/4R2K b - - 1 38,e7e8 d8e8 e6e8 e1e8,2,White
r4qkR/p5p1/bpn1p1B1/3pP1P1/3P2P1/1Q6/P2B4/4K3 b - - 6 22,g8h8 b3h3 h8g8 h3h7,2,White
r4r2/pR6/3p4/2b3Bp/NkB1P1bP/1P4p1/P5P1/n6K b - - 0 26,b4a3 g5c1 a3a2 a4c3,2,White
6k1/7p/4pppP/3r4/2p5/2Q5/6P1/6RK w - - 3 38,c3c4 d5h5 c4h4 h5h4,2,White
r2q1rk1/ppp3pR/2np2Q1/8/8/2P2NB1/PP3KP1/1Bb5 b - - 0 18,d8f6 h7h8 g8h8 g6h7,2,White
5rk1/5ppp/Q2pp3/3n2q1/Np6/1P2PP2/P6r/R5RK w - - 0 22,h1h2 g5h4 h2g2 d5e3,2,Black
8/pp3p1p/1bp3pk/4Q3/5P1K/1P2P1P1/PB5P/5q2 b - - 14 34,b6d8 e5g5 d8g5 f4g5,2,White
6k1/4p2p/p2pN1p1/1p1P3r/2P5/1P2Bq2/P2Q1P2/5KRr w - - 6 33,d2d4 h1g1 f1g1 f3h1,2,Black
r1b2rk1/pp1n2pB/1q5p/3p2b1/8/1NP2R1P/P1Q3PB/5R1K b - - 2 25,g8h8 f3f8 d7f8 f1f8,2,White
5r2/p6p/6pk/4Q3/3Pp1q1/6R1/P4PKP/2r5 b - - 2 33,g4f4 g3h3 f4h4 h3h4,2,Black
4r2k/3Q2pp/2pq2p1/p3p3/Pp1pP3/1P1P1R2/2P5/1K3R2 b - - 1 34,d6d7 f3f8 e8f8 f1f8,2,White
2k3r1/p4R1p/2p1p3/8/4Q3/q5P1/P6r/5R1K w - - 0 26,h1h2 a3g3 h2h1 g3h3,2,Black
8/1b1n4/p2p1nQ1/4pP2/4P2k/2pP2P1/2q4P/5R1K b - - 0 33,h4h3 g6h6 f6h5 h6h5,2,White
6Q1/5N2/2p1q2p/4p1p1/5p2/1P1p1kP1/P4P1P/4RRK1 w - - 3 29,g3f4 e6g4 g1h1 g4g2,2,White
7k/1Q4bp/6p1/8/8/8/5RPP/q5K1 w - - 1 27,f2f1 g7d4 g1h1 a1f1,2,Black
1k3r2/pp5p/2B1pN2/8/3n2P1/7Q/PPPR3P/2K1q3 w - - 1 27,d2d1 d4e2 c1b1 e1d1,2,Black
3k4/ppp5/1n4Q1/4p3/1PP1P3/1P6/1q1P1rP1/1B1K3R w - - 3 31,b1c2 b2a1 c2b1 a1b1,2,White
8/1pkn3Q/2pb4/p3q3/8/5R2/PPB2rPP/7K w - - 0 30,f3f2 e5e1 f2f1 e1f1,2,Black
3bQr2/1pqnR2k/p2p2pp/1PpP1p2/P1P5/6PP/1B3P2/6K1 b - - 4 28,d8e7 e8e7 f8f7 e7f7,2,White
3R3k/pp4pp/1b2rp2/8/8/1P6/P4PPP/3R2K1 b - - 1 27,b6d8 d1d8 e6e8 d8e8,2,White
r4R1k/p3q1pp/1p6/3pB3/3Pb3/2P3Q1/P5PP/5RK1 b - - 0 27,a8f8 g3g7 e7g7 f1f8,2,White
r4r1k/ppp2p2/3p1Q2/3P1q1p/3p1P2/5N2/PPP5/1K4RR b - - 0 22,f5f6 h1h5 f6h6 h5h6,2,White
3r4/5p1p/8/7R/5p2/5k2/PbP4P/3K2R1 w - - 2 28,d1e1 b2c3 e1f1 d8d1,2,Black
6B1/p2R2pk/6Np/5P2/6P1/7P/P1r2r2/6K1 b - - 1 29,h7g8 d7d8 g8f7 d8f8,2,White
4RN2/2R3k1/1r4pp/2p3q1/2P5/2r3PP/7K/8 b - - 0 39,g7f6 f8h7 f6f5 c7c5,2,White
